movieId;title;casts;director;writers;maturity;keywords;popularity;tagline;poster;backdrop;language;description;genres;companies;releaseDate;runtime;trailer;titleImage;dateAdded;views
1;Avatar;Sam Worthington,Zoe Saldana,Sigourney Weaver,Stephen Lang,Michelle Rodriguez;James Cameron;James Cameron;PG-13;culture clash,future,space war,space colony,society;150.437577;Enter the World of Pandora.;https://image.tmdb.org/t/p/w500/kyeqWdyUXW608qlYkRqosgbbJyK.jpg;https://image.tmdb.org/t/p/original/vL5LR6WdxWPjLPFRLe133jXWsh5.jpg;en;In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.;ACTION,ADVENTURE,FANTASY,SCIENCE_FICTION;Ingenious Film Partners,Twentieth Century Fox Film Corporation,Dune Entertainment,Lightstorm Entertainment;12-10-2009;2h 42m;https://imdb-video.media-imdb.com/vi531039513/1434659607842-pgv4ql-1440787227613.mp4?Expires=1704388869&Signature=WqZC5eGnGwU9LjdAha7qK~6IbFFP4g~StmfN1EzTTXk7k4OmSwhUnmaYfnkWcFCXSxXfA7xrOhZsyyEObIhzu-x5oiYd8GSzIp9W7DjNP6AudkDqiXAk3PJr~HfFQRbtmN8sKzHXKyFx9I-3I4l2MtFsMoeAEWcYEKIo9AD72UV~h43dpCGOsma8b-MOUXl8zB78198YvMnuIMIziqL3PhEtZuveW01osailhNqV9aRFXWuplH1hIV67cl5o2gA2urSNhuLDrp6FmGdqteoQKRya4qgCDj7REuY54HSzGw9sBypT6erlNK4F3vypN9DSOgOQJJA6JoiZ5pVG1GEaOw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/bfyDWTohsMdoYqEs9gVjkQo8Gk1.png;1-20-2024;300
2;Pirates of the Caribbean: At World's End;Johnny Depp,Orlando Bloom,Keira Knightley,Stellan Skarsgård,Chow Yun-fat;Gore Verbinski;Ted Elliott,Terry Rossio;PG-13;ocean,drug abuse,exotic island,East India Trading Company,love of one's life;139.082615;At the end of the world, the adventure begins.;https://image.tmdb.org/t/p/w300/jGWpG4YhpQwVmjyHEGkxEkeRf0S.jpg;https://image.tmdb.org/t/p/original/kPcHuPYqzkSo4bmPHtH82GaeEgX.jpg;en;Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.;ADVENTURE,FANTASY,ACTION;Walt Disney Pictures,Jerry Bruckheimer Films,Second Mate Productions;5-19-2007;2h 49m;https://imdb-video.media-imdb.com/vi2529559321/1434659607842-pgv4ql-1564560711742.mp4?Expires=1706030492&Signature=j-mykVjarmxt~EpiEv8IHFhoi3AR9SfdVSeDMSXp0GoiwTWXLXu1QydjjOz~3N2zmmaebz0r-ReHgUvW24rjtjp7dGV~A2zLCRquD3jKtFpFzm3pAT6ocSgmj6~7v3qv9qYeT05UnLa1RqS2uvr1kUtmMwJ-XPcqTGOE7QfupAKmkSc9HwuwImJCd72WrhXPb75KqgWCjV3QkM26SJhxad-Jk-gnI3kSTGl4aaeCWzZr~ay1CRKiXimN5bJtXxtSEuukEimQ91RjTrSPRVVGWTr8DDQTe4TK9T6nSqnp7ppuFimhVIkeBphctWp3P2EqsNxGGmIIa5bDpiKnIMz40g__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/63B7SpMd9ppvuan8m33zxEoYKzR.png;12-10-2023;250
3;Spectre;Daniel Craig,Christoph Waltz,Lea Seydoux,Ralph Fiennes,Monica Bellucci;Sam Mendes;John Logan,Neal Purvis,Robert Wade,Jez Butterworth;PG-13;spy,based on novel,secret agent,sequel,MI6;107.376788;A Plan No One Escapes;https://image.tmdb.org/t/p/w300/672kUEMtTHcaVYSVY4eiHEliHFa.jpg;https://image.tmdb.org/t/p/original/cCKU3EuiSKt6xsOI6gg5kiFgZYm.jpg;en;A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.;ACTION,ADVENTURE,CRIME;Columbia Pictures,Danjaq,B24;10-26-2015;2h 28m;https://imdb-video.media-imdb.com/vi3362042649/1434659607842-pgv4ql-1443805159089.mp4?Expires=1704389887&Signature=U-nDIi9OSej5pCXQYD-iQA5lbBeMbsmAZD2HVfgLTtpDSCzB2egyFO1wqRelfQ-T~LaZhKzIJq1LN2cJxoCCCab~k8X5VhA~HuRz3QJHWMDRt758~65wfPO9ZsjWZg6MY2QwfXpboHMIy5lm-X4CupHMpD0y4Lr~4TM4SYyMY4P9wnWG~rcDhHYDTEwVRnXxDxWP-I5vUvY30m0Bep-2NuYuHuo-caMtw0lsanFCHRPCyLUwAtK~fWyMrYbKbOhHHbEULHfaftdH2JZf4Nxae1kRzWGFEX6meNnCwwEZlZ7sVrRqyjKmBKTQhtAdT6cDOn2-lCOLBmGJIEC4M~WDWA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/pmGbmSzLpRKaDfmZSowKXY77nDc.png;11-30-2023;100
4;The Dark Knight Rises;Christian Bale,Michael Caine,Gary Oldman,Anne Hathaway,Tom Hardy;Christopher Nolan;Christopher Nolan,Jonathan Nolan;PG-13;DC Comics,crime fighter,terrorist,secret identity,burglar;112.31295;The Legend Ends;https://image.tmdb.org/t/p/w300/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg;https://image.tmdb.org/t/p/original/c3OHQncTAnKFhdOTX7D3LTW6son.jpg;en;Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.;ACTION,CRIME,DRAMA,THRILLER;Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy;7-16-2012;2h 45m;https://imdb-video.media-imdb.com/vi144884505/1434659607842-pgv4ql-1632113142638.mp4?Expires=1704389917&Signature=B97-i6U6dZtHU5j7jD5j5GH8G3GgqKMaFI6a~OXrXExl1PLNbeIUnTMmhfJ3BSVdsVUsIko8Q8TEkP6uu3A~yH5~kVpvufSVPlNCet~bj5V1i1nm8eXPVb6WaOyxmQur~jazTMAAs1YLxsGOiZKQwyacov-3qzr29afH8vj~bvJwPksyTk2Zi~tLmPCQkJUJi5zuMU1qJ1I0YEGBz50vVEUXxO2Gqyu-sVYgX2-OxR5rcvCAKXSfWhD467xikW695sd-h7AWbO8UNzX6FsD~oJUq5lO79h9UVV~yfa9t4Z7TlPjPDGhGJuaYdkAKPYiol0ia-Cw-w1IwHNHRg5zB3Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/xdNHIYqo1VzxMCw4n51ARgem6ym.png;1-3-2024;400
5;John Carter;Taylor Kitsch,Lynn Collins,Samantha Morton,Willem Dafoe,Thomas Haden Church;Andrew Stanton;Andrew Stanton,Mark Andrews,Michael Chabon;PG-13;based on novel,Mars,medallion,space travel,princess;43.926995;Lost in our world, found in another.;https://image.tmdb.org/t/p/w300/lCxz1Yus07QCQQCb6I0Dr3Lmqpx.jpg;https://image.tmdb.org/t/p/original/ubNevniKd5NYo60DqYIQ29T0uyB.jpg;en;John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.;ACTION,ADVENTURE,SCIENCE_FICTION;Walt Disney Pictures;3-7-2012;2h 12m;https://imdb-video.media-imdb.com/vi2340397337/1434659607842-pgv4ql-1616202575636.mp4?Expires=1704390256&Signature=pGTvJXTmca2EQeZ1hwKibJoi0T1nEty-DZpRXm7D0-myfS9MSBNTWb-xM9B6Zn6eZalh6GKVsRYDCF8Jpm8aDSiaGo3jNlsKiSw1SH8yq~ZE62Lij5Ot0blwL~RgOvn-pL4f7HPDzMRyMmPWWjKt-7JBnrpHDIJSAD15BbZ9fkCawtGsdCTBI8Gs3VO1Ai2LAddWsMo4caGujdiAftWT3bRjJ4aMvlbHMLHVV1JEuvzlTvuH0xbu~wVJ7MPW6GtDnUvIVJPIPjR4LeltL1u7ZajUUIWGa5QyDIHCPQK4D6fsA5BlDS7UQWxQNz2YhMfJsprp5IkLSrrmelUVfgiV3Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/9uudeqm9rDRM7mY8oURevQvdDNp.png;10-12-2023;212
6;Spider-Man 3;Tobey Maguire,Kirsten Dunst,James Franco,Thomas Haden Church,Topher Grace;Sam Raimi;Sam Raimi,Ivan Raimi,Alvin Sargent;PG-13;dual identity,amnesia,sandstorm,love of one's life,forgiveness;115.699814;The battle within.;https://image.tmdb.org/t/p/w300/qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg;https://image.tmdb.org/t/p/original/w1oD1MzHjnBJc5snKupIQaSBLIh.jpg;en;The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.;FANTASY, ACTION,ADVENTURE;Columbia Pictures,Laura Ziskin Productions,Marvel Enterprises;5-1-2007;2h 19m;https://imdb-video.media-imdb.com/vi1939784217/1434659607842-pgv4ql-1651703381869.mp4?Expires=1704389655&Signature=rGUE8wM~rEibbGFOMQh5XBa12P7wTJG-4S8B2XtFEB8AYIsOCcWrhO~M6d1SO5-LmxsVfc~Pyc4nLuC2ZQpCT3PfRB-CzT~R~GG689PjeaUj62u6AMh~wNOUAnm5TZSJfXs0U-iHu3L-vPLEmmeWZpz3rL8pyhvvedHEf0RALpVJKquFFFP20oPckvI-7WH5OACexAWzPnEqjOeDPz90ymq6rtaBN7pycmjDQVz4pDo77eNEnncNG406pHII7x1qZXgNGcIcP~~f7KjQI41X20y3HvyryP5zAn5oiLy6gRD82c1Q87Mtflm2WqsQpIejirQA~JBdFRErtvjCIWNpOQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/wPilOoeK96QNMiWI25Xugqu9yVf.png;1-5-2024;627
7;Tangled;Zachary Levi,Mandy Moore,Donna Murphy,Ron Perlman,M.C. Gainey;Byron Howard;Dan Fogelman;PG;hostage,magic,horse,fairy tale,musical;48.681969;They're taking adventure to new lengths.;https://image.tmdb.org/t/p/w300/ym7Kst6a4uodryxqbGOxmewF235.jpg;https://image.tmdb.org/t/p/original/cWczNud8Y8i8ab0Z4bxos4myWYO.jpg;en;When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.;ANIMATION,FAMILY;Walt Disney Pictures,Walt Disney Animation Studios;11-24-2010;1h 40m;https://imdb-video.media-imdb.com/vi385091865/1434659607842-pgv4ql-1616202690129.mp4?Expires=1704390265&Signature=RU5hXzlabUu6VXJAmZZYurwCS3ub9YrZJplHWd-XplU9jI9n47UvMPhX3YKaEF6rv2nRkQYxz4CSnJKwxGbXSTjmt670MJlitqeOnVFdKmkNS4N4FKL59uJdo8~wvLeyiGO3BLarMY0ghFHJRczbhLS6XqCBwsGQt2RjI6ZXdyfuIpRJ6NV0i-vGaAYaNVXEdFBZvHvYADi1Nz8hyNaWZM~I1qloPxz4gfbd9L7u~3tefZLLL5HZ59jjqMzLq4NC~wboT~MmHwUkQggDT0iHWkXvIQl6NRhejmULxjiwxuc~M0B2bxMndadk3UrI69f70xw1XeGz19fDRc1rmMY0Lg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/cvfhdrzcieECmif1byJ26b6cF2s.png;9-20-2023;732
8;Avengers: Age of Ultron;Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson;Joss Whedon;Joss Whedon;PG-13;Marvel Comic,sequel,superhero,based on comic book,Vision;134.279229;A New Age Has Come.;https://image.tmdb.org/t/p/w300/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg;https://image.tmdb.org/t/p/original/6YwkGolwdOMNpbTOmLjoehlVWs5.jpg;en;When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.;ACTION,ADVENTURE,SCIENCE_FICTION;Marvel Studios,Prime Focus,Revolution Sun Studios;4-22-2015;2h 21m;https://imdb-video.media-imdb.com/vi2821566745/1434659607842-pgv4ql-1612218463733.mp4?Expires=1704390243&Signature=FmU15yzs-VcW3ifVwZWgClElKDbIQ1zRibFet-9F80mCPU04arzn37~tXPzUveAiVAFNuqiOiOpBQXrZKBF6fVkR1vgmS5akV6c3OWCbus~Kg8l-cV0pL3PgzBoYqfL55RfSeKjZjBuce-g0U-Y4wdnNUyWzIuwEexli1vfhueBFlDI-S2uZqkDifKktm2HmtQpnkYYcV~9LQB0dgyH-qqha8upk~WWX7r35j3YGtymJ9cfkNQ~KFuKd-Skoes3UebmuK5NMnyDzYmSYZSP~qxZ2jsIFA3QF9dRdU4nEu7Z1ZEcW~S6ZUdcQ9fa6AGyjUtQTUUZSuBSf0uSoz3l-8g__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/9dsq6ClIr01iIuedW1Ko7HJGjUw.png;12-3-2023;632
9;Harry Potter and the Half-Blood Prince;Daniel Radcliffe,Rupert Grint,Emma Watson,Tom Felton,Michael Gambon;David Yates;Steve Kloves;PG;witch,magic,broom,School of Witchcraft,Wizardry;98.885637;Dark Secrets Revealed;https://image.tmdb.org/t/p/w300/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg;https://image.tmdb.org/t/p/original/urDWNffjwmNi5IQaezw9GwqkUXa.jpg;en;As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.;ADVENTURE,FANTASY,FAMILY;Warner Bros.,Heyday Films;7-7-2009;2h 33m;https://imdb-video.media-imdb.com/vi1061421849/1434659607842-pgv4ql-1616202485079.mp4?Expires=1704390074&Signature=BfJGuMvuj36VWTY426i0D3JC-5x0It~-FYgNKYUfFwNlPHqo0YiBX-UeNCfrEs3y511PZugEjKiTJVZgrQ5rlGEtgKNbr8bSCpHN4LzL~kYtiQigmCJUJO53PT9q~eEk9-0d9NbVjaFqyrOQW575Mj~hUwf5vhHONvUQsdd-Q~UlCUJmixHzVPNsNKmd~jx~AqXhpDAAwtoz-r~wpTCNvE0DU3NZuue6hVY8-JHJp0BvQDe5Kpd25c0H5585opUcYnal60R6ukAjERblPPuYF2TVNOMKdopkE4xFILtlhtYGZ0AmgSHWndG1FLrgkUd7MBOVVRj~bI7G0eVTdEPwOg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/lrYMQm87y5lj8PN4BAfKnNZijt0.png;9-12-2023;367
10;Batman v Superman: Dawn of Justice;Ben Affleck,Henry Cavill,Gal Gadot,Amy Adams,Jesse Eisenberg;Zack Snyder;Chris Terrio,David S. Goyer;PG-13;DC Comics,vigilante,superhero,based on comic book,revenge;155.790452;Justice or revenge;https://image.tmdb.org/t/p/w300/5UsK3grJvtQrtzEgqNlDljJW96w.jpg;https://image.tmdb.org/t/p/original/5fX1oSGuYdKgwWmUTAN5MNSQGzr.jpg;en;Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.;ACTION,ADVENTURE,FANTASY;DC Comics,Atlas Entertainment,Warner Bros.,DC Entertainment,Cruel & Unusual Films,RatPac-Dune Entertainment;3-23-2016;2h 31m;https://imdb-video.media-imdb.com/vi1946858521/1434659607842-pgv4ql-1464895181083.mp4?Expires=1704390358&Signature=FJvOCZqFXB7gkpiVajWbkLg0SdTnlGS7CITwIzrpfKnuteGkA3YmAApTR~88qobBGaa-KGnzU1nMFcekQdsYmP-puJPfU0yk-BeIUbTWcpu1SzanMCbEVR8q~bHEBHwDjetejICvq2ge4z0j9ZHcMEyQs8ehfsaPAypeE4Qf7vRPBIg-0W0Sqte4zD~HqZPBdHTbiW~KiO~mu6oHgHypp3jwISWmgMWyuDkuwDJnRzOqcEdffHCEe-bVF7nSL7k4mKOOnhv-wnI58iRjgPuR21BmbgaMOX~s63f-dbLvpicQs8mCWvhlbh-wWHfOjABXW9NMf7B7Srh7Hwq4AvliQA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/2jRycjYLsKBREurUute8roVN1FF.png;11-24-2023;578
